prod_id,description,prod_type,qty_avail
prod0053,"Dresser; size: XL, color: green, finish: lacquer",livingroom,6
prod0054,"Dining table; size: S, color: silver, finish: oil",bedroom,23
prod0055,"Book shelf; size: M, color: white, finish: varnish",kitchen,25
prod0056,"L-shaped sofa; size: L, color: gold, finish: oil",livingroom,23
prod0057,"Dining table; size: M, color: bronze, finish: bare",kitchen,9
prod0058,"Dresser; size: S, color: white, finish: wood",kitchen,21
prod0059,"Sofa; size: M, color: purple, finish: lacquer",kitchen,29
prod0060,"Book shelf; size: XL, color: blue, finish: resin",bedroom,8
prod0061,"L-shaped sofa; size: XL, color: silver, finish: wood",livingroom,10
prod0062,"Stool; size: L, color: silver, finish: resin",livingroom,3
prod0063,"Sofa; size: S, color: black, finish: diamonds",bedroom,24
prod0064,"Bar stool; size: M, color: green, finish: platinum",bedroom,1
prod0065,"Desk; size: L, color: gold, finish: lacquer",bedroom,16
prod0066,"L-shaped sofa; size: L, color: white, finish: platinum",bedroom,8
prod0067,"TV stand; size: XL, color: silver, finish: resin",kitchen,8
prod0068,"L-shaped sofa; size: S, color: white, finish: oil",bedroom,8
prod0069,"Bar stool; size: M, color: purple, finish: diamonds",kitchen,12
prod0070,"Dining table; size: XL, color: brown, finish: oil",bedroom,23
prod0071,"End table; size: L, color: blue, finish: varnish",kitchen,2
prod0072,"Dresser; size: XL, color: green, finish: diamonds",bedroom,3
prod0073,"Bed frame; size: M, color: silver, finish: oil",kitchen,13
prod0074,"End table; size: M, color: blue, finish: diamonds",kitchen,3
prod0075,"Coffee table; size: S, color: white, finish: gold",kitchen,20
prod0076,"L-shaped sofa; size: S, color: gold, finish: paint",bedroom,12
prod0077,"Coffee table; size: L, color: silver, finish: wood",bedroom,5
prod0078,"Coffee table; size: L, color: red, finish: gold",livingroom,24
prod0079,"Dresser; size: S, color: black, finish: bare",bedroom,12
prod0080,"End table; size: S, color: blue, finish: platinum",livingroom,17
prod0081,"Coffee table; size: M, color: black, finish: paint",livingroom,21
prod0082,"End table; size: L, color: purple, finish: paint",livingroom,10
prod0083,"Dresser; size: XL, color: brown, finish: gold",kitchen,26
prod0084,"Desk; size: S, color: bronze, finish: gold",kitchen,3
prod0085,"End table; size: M, color: green, finish: wood",livingroom,7
prod0086,"Dining table; size: M, color: green, finish: lacquer",kitchen,0
prod0087,"End table; size: S, color: silver, finish: diamonds",livingroom,21
prod0088,"Desk; size: M, color: white, finish: gold",bedroom,25
prod0089,"TV stand; size: M, color: purple, finish: paint",kitchen,14
prod0090,"End table; size: S, color: gold, finish: resin",bedroom,8
prod0091,"Dresser; size: M, color: silver, finish: platinum",livingroom,18
prod0092,"Stand; size: XL, color: gold, finish: lacquer",kitchen,21
prod0093,"Coffee table; size: L, color: bronze, finish: gold",kitchen,9
prod0094,"Desk; size: M, color: brown, finish: gold",livingroom,9
prod0095,"Bed frame; size: L, color: gold, finish: varnish",kitchen,28
prod0096,"L-shaped sofa; size: M, color: green, finish: diamonds",kitchen,10
prod0097,"Bed frame; size: M, color: red, finish: lacquer",livingroom,7
prod0098,"Sofa; size: M, color: bronze, finish: paint",livingroom,22
prod0099,"Desk; size: L, color: brown, finish: lacquer",livingroom,20
prod0100,"Dresser; size: L, color: bronze, finish: gold",bedroom,3
prod0101,"Book shelf; size: XL, color: white, finish: gold",bedroom,12
prod0102,"Bar stool; size: XL, color: blue, finish: diamonds",kitchen,28
prod0103,"Stand; size: XL, color: brown, finish: wood",kitchen,9
prod0104,"Stool; size: L, color: blue, finish: oil",livingroom,27
prod0105,"Book shelf; size: M, color: blue, finish: wood",bedroom,13
prod0106,"Stand; size: S, color: green, finish: resin",kitchen,13
prod0107,"Stool; size: S, color: bronze, finish: chrome",bedroom,7
prod0108,"L-shaped sofa; size: M, color: bronze, finish: resin",bedroom,21
prod0109,"Desk; size: L, color: white, finish: resin",livingroom,0
prod0110,"Stand; size: S, color: silver, finish: paint",livingroom,8
prod0111,"Desk; size: L, color: white, finish: gold",kitchen,8
prod0112,"TV stand; size: L, color: bronze, finish: gold",livingroom,15
prod0113,"Book shelf; size: L, color: blue, finish: chrome",livingroom,20
prod0114,"Bar stool; size: S, color: blue, finish: gold",livingroom,8
prod0115,"Stand; size: L, color: black, finish: diamonds",kitchen,25
prod0116,"Sofa; size: S, color: red, finish: paint",bedroom,12
prod0117,"Dining table; size: L, color: green, finish: paint",bedroom,7
prod0118,"TV stand; size: S, color: gold, finish: platinum",livingroom,18
prod0119,"TV stand; size: S, color: brown, finish: diamonds",livingroom,0
prod0120,"Dining table; size: L, color: brown, finish: wood",livingroom,12
prod0121,"Coffee table; size: XL, color: green, finish: varnish",bedroom,8
prod0122,"Desk; size: S, color: black, finish: varnish",livingroom,4
prod0123,"Sofa; size: S, color: brown, finish: bare",kitchen,9
prod0124,"Stand; size: XL, color: brown, finish: oil",bedroom,2
prod0125,"Dresser; size: M, color: red, finish: bare",kitchen,12
prod0126,"End table; size: L, color: purple, finish: silver",kitchen,10
prod0127,"Bar stool; size: L, color: white, finish: platinum",kitchen,22
prod0128,"Stool; size: L, color: white, finish: oil",bedroom,1
prod0129,"TV stand; size: L, color: red, finish: wood",kitchen,17
prod0130,"Bar stool; size: L, color: black, finish: wood",kitchen,6
prod0131,"TV stand; size: S, color: black, finish: bare",kitchen,4
prod0132,"End table; size: L, color: brown, finish: varnish",kitchen,1
prod0133,"Stand; size: M, color: blue, finish: bare",livingroom,25
prod0134,"End table; size: XL, color: red, finish: resin",kitchen,4
prod0135,"Bar stool; size: S, color: red, finish: resin",bedroom,12
prod0136,"Coffee table; size: M, color: brown, finish: chrome",bedroom,3
prod0137,"Dining table; size: XL, color: gold, finish: bare",bedroom,6
prod0138,"Coffee table; size: S, color: black, finish: resin",kitchen,0
prod0139,"Sofa; size: S, color: blue, finish: platinum",kitchen,11
prod0140,"L-shaped sofa; size: XL, color: brown, finish: wood",kitchen,18
prod0141,"Desk; size: S, color: gold, finish: bare",livingroom,18
prod0142,"Stool; size: L, color: purple, finish: gold",livingroom,0
prod0143,"Dresser; size: XL, color: red, finish: chrome",kitchen,18
prod0144,"Dining table; size: L, color: brown, finish: bare",bedroom,7
prod0145,"Book shelf; size: XL, color: gold, finish: gold",livingroom,29
prod0146,"Dresser; size: S, color: brown, finish: oil",kitchen,17
prod0147,"Coffee table; size: L, color: black, finish: lacquer",livingroom,20
prod0148,"Coffee table; size: XL, color: brown, finish: wood",kitchen,8
prod0149,"Book shelf; size: M, color: white, finish: silver",bedroom,6
prod0150,"Dining table; size: L, color: green, finish: bare",livingroom,2
prod0151,"Desk; size: S, color: black, finish: paint",livingroom,14
prod0152,"Stand; size: S, color: blue, finish: resin",livingroom,5
prod0153,"Dresser; size: S, color: green, finish: resin",bedroom,7
prod0154,"L-shaped sofa; size: M, color: brown, finish: resin",bedroom,26
prod0155,"End table; size: S, color: purple, finish: oil",kitchen,28
prod0156,"L-shaped sofa; size: L, color: brown, finish: platinum",bedroom,12
prod0157,"Bed frame; size: M, color: silver, finish: lacquer",bedroom,17
prod0158,"Sofa; size: L, color: bronze, finish: gold",bedroom,0
prod0159,"Bar stool; size: S, color: blue, finish: gold",livingroom,8
prod0160,"L-shaped sofa; size: L, color: purple, finish: oil",bedroom,23
prod0161,"Stool; size: S, color: red, finish: wood",livingroom,21
prod0162,"Coffee table; size: S, color: bronze, finish: bare",livingroom,29
prod0163,"Coffee table; size: M, color: green, finish: lacquer",livingroom,16
prod0164,"Dining table; size: M, color: purple, finish: lacquer",kitchen,28
prod0165,"Stand; size: M, color: blue, finish: diamonds",kitchen,0
prod0166,"Bed frame; size: XL, color: brown, finish: paint",kitchen,18
prod0167,"End table; size: XL, color: purple, finish: wood",kitchen,14
prod0168,"End table; size: L, color: blue, finish: bare",livingroom,28
prod0169,"Bed frame; size: S, color: bronze, finish: silver",livingroom,3
prod0170,"Book shelf; size: L, color: purple, finish: gold",livingroom,12
prod0171,"Stand; size: L, color: white, finish: varnish",bedroom,18
prod0172,"Dresser; size: M, color: gold, finish: lacquer",livingroom,22
prod0173,"Book shelf; size: M, color: silver, finish: lacquer",kitchen,22
prod0174,"Coffee table; size: S, color: brown, finish: oil",livingroom,10
prod0175,"Dining table; size: L, color: green, finish: paint",livingroom,19
prod0176,"Coffee table; size: XL, color: green, finish: wood",kitchen,3
prod0177,"Dresser; size: S, color: white, finish: silver",kitchen,28
prod0178,"End table; size: S, color: black, finish: wood",bedroom,9
prod0179,"Dresser; size: L, color: brown, finish: varnish",livingroom,26
prod0180,"Stand; size: XL, color: bronze, finish: varnish",livingroom,5
prod0181,"Desk; size: M, color: gold, finish: resin",bedroom,0
prod0182,"Coffee table; size: L, color: red, finish: platinum",kitchen,8
prod0183,"Desk; size: L, color: bronze, finish: silver",bedroom,8
prod0184,"Stand; size: M, color: gold, finish: wood",livingroom,13
prod0185,"Bar stool; size: XL, color: red, finish: gold",kitchen,5
prod0186,"Bed frame; size: M, color: red, finish: oil",kitchen,9
prod0187,"Stool; size: XL, color: green, finish: bare",kitchen,20
prod0188,"Desk; size: M, color: black, finish: bare",livingroom,19
prod0189,"Bar stool; size: M, color: red, finish: chrome",livingroom,13
prod0190,"Stand; size: L, color: green, finish: paint",bedroom,13
prod0191,"Desk; size: XL, color: bronze, finish: wood",kitchen,12
prod0192,"Sofa; size: XL, color: green, finish: wood",bedroom,11
prod0193,"Desk; size: XL, color: brown, finish: paint",livingroom,10
prod0194,"Bed frame; size: M, color: green, finish: silver",kitchen,11
prod0195,"TV stand; size: L, color: red, finish: bare",kitchen,5
prod0196,"Dining table; size: XL, color: gold, finish: diamonds",livingroom,8
prod0197,"Book shelf; size: L, color: brown, finish: oil",bedroom,2
prod0198,"Book shelf; size: L, color: red, finish: chrome",bedroom,11
prod0199,"Desk; size: XL, color: gold, finish: bare",bedroom,22
prod0200,"TV stand; size: L, color: green, finish: silver",kitchen,26
prod0201,"Book shelf; size: M, color: red, finish: silver",kitchen,20
prod0202,"End table; size: S, color: silver, finish: varnish",kitchen,11
prod0203,"Coffee table; size: XL, color: gold, finish: paint",livingroom,11
prod0204,"Bed frame; size: XL, color: gold, finish: silver",livingroom,25
prod0205,"Desk; size: S, color: brown, finish: bare",kitchen,28
prod0206,"TV stand; size: L, color: blue, finish: chrome",bedroom,17
prod0207,"Sofa; size: S, color: red, finish: silver",kitchen,20
prod0208,"Coffee table; size: S, color: black, finish: diamonds",livingroom,27
prod0209,"Stand; size: XL, color: gold, finish: silver",kitchen,8
prod0210,"Stool; size: XL, color: purple, finish: bare",livingroom,20
prod0211,"Sofa; size: L, color: black, finish: silver",livingroom,17
prod0212,"Bed frame; size: XL, color: purple, finish: chrome",kitchen,4
prod0213,"Stand; size: XL, color: green, finish: bare",kitchen,21
prod0214,"Sofa; size: XL, color: purple, finish: oil",livingroom,7
prod0215,"Stool; size: M, color: purple, finish: silver",kitchen,13
prod0216,"Desk; size: M, color: purple, finish: platinum",bedroom,3
prod0217,"Bar stool; size: M, color: blue, finish: platinum",livingroom,26
prod0218,"Sofa; size: XL, color: bronze, finish: oil",livingroom,23
prod0219,"Sofa; size: L, color: silver, finish: resin",livingroom,16
prod0220,"L-shaped sofa; size: XL, color: red, finish: varnish",bedroom,14
prod0221,"Bar stool; size: L, color: white, finish: oil",livingroom,18
prod0222,"Bed frame; size: S, color: gold, finish: gold",kitchen,0
prod0223,"Desk; size: L, color: black, finish: gold",kitchen,16
prod0224,"Sofa; size: L, color: brown, finish: platinum",livingroom,7
prod0225,"TV stand; size: XL, color: red, finish: resin",bedroom,0
prod0226,"L-shaped sofa; size: XL, color: gold, finish: diamonds",kitchen,28
prod0227,"Sofa; size: XL, color: silver, finish: wood",kitchen,8
prod0228,"Sofa; size: S, color: red, finish: bare",livingroom,9
prod0229,"Stool; size: S, color: red, finish: varnish",kitchen,3
prod0230,"Coffee table; size: S, color: black, finish: gold",kitchen,5
prod0231,"Desk; size: S, color: bronze, finish: gold",bedroom,7
prod0232,"Dresser; size: L, color: purple, finish: bare",livingroom,16
prod0233,"Book shelf; size: XL, color: gold, finish: wood",livingroom,2
prod0234,"Dresser; size: XL, color: purple, finish: chrome",bedroom,8
prod0235,"L-shaped sofa; size: S, color: black, finish: chrome",kitchen,27
prod0236,"Stand; size: XL, color: gold, finish: lacquer",bedroom,17
prod0237,"Stand; size: XL, color: blue, finish: varnish",kitchen,12
prod0238,"Stool; size: XL, color: blue, finish: wood",livingroom,22
prod0239,"Bed frame; size: L, color: red, finish: silver",bedroom,14
prod0240,"Book shelf; size: L, color: white, finish: bare",bedroom,13
prod0241,"Stand; size: S, color: brown, finish: resin",livingroom,1
prod0242,"Dining table; size: L, color: white, finish: bare",kitchen,28
prod0243,"L-shaped sofa; size: M, color: purple, finish: lacquer",livingroom,26
prod0244,"L-shaped sofa; size: L, color: silver, finish: chrome",livingroom,29
prod0245,"Coffee table; size: S, color: black, finish: chrome",livingroom,3
prod0246,"Bar stool; size: S, color: silver, finish: wood",kitchen,22
prod0247,"End table; size: M, color: brown, finish: diamonds",bedroom,2
prod0248,"Bed frame; size: XL, color: green, finish: diamonds",kitchen,14
prod0249,"Dining table; size: L, color: brown, finish: bare",livingroom,6
prod0250,"Desk; size: XL, color: white, finish: lacquer",kitchen,23
prod0251,"Dining table; size: XL, color: white, finish: gold",kitchen,7
prod0252,"End table; size: M, color: black, finish: silver",kitchen,14
prod0253,"TV stand; size: S, color: white, finish: platinum",bedroom,28
prod0254,"Desk; size: S, color: brown, finish: resin",bedroom,8
prod0255,"Dining table; size: M, color: gold, finish: paint",kitchen,14
prod0256,"Bar stool; size: L, color: silver, finish: oil",bedroom,19
prod0257,"Bed frame; size: L, color: bronze, finish: oil",kitchen,27
prod0258,"Coffee table; size: M, color: bronze, finish: platinum",kitchen,21
prod0259,"Desk; size: L, color: silver, finish: wood",livingroom,24
prod0260,"L-shaped sofa; size: S, color: gold, finish: resin",kitchen,27
prod0261,"Dresser; size: XL, color: purple, finish: silver",livingroom,5
prod0262,"Desk; size: M, color: green, finish: chrome",bedroom,28
prod0263,"Book shelf; size: S, color: gold, finish: resin",livingroom,25
prod0264,"Bar stool; size: L, color: blue, finish: lacquer",bedroom,15
prod0265,"TV stand; size: M, color: blue, finish: diamonds",bedroom,7
prod0266,"Dining table; size: L, color: red, finish: paint",livingroom,12
prod0267,"Bar stool; size: S, color: blue, finish: wood",kitchen,22
prod0268,"Stand; size: XL, color: white, finish: varnish",kitchen,22
prod0269,"Sofa; size: M, color: silver, finish: paint",bedroom,10
prod0270,"Dining table; size: M, color: red, finish: oil",kitchen,27
prod0271,"Sofa; size: XL, color: bronze, finish: resin",livingroom,17
prod0272,"Book shelf; size: XL, color: white, finish: chrome",livingroom,27
prod0273,"End table; size: L, color: white, finish: resin",bedroom,18
prod0274,"Sofa; size: S, color: bronze, finish: chrome",livingroom,2
prod0275,"Book shelf; size: M, color: blue, finish: paint",livingroom,1
prod0276,"L-shaped sofa; size: L, color: black, finish: oil",kitchen,18
prod0277,"Dining table; size: S, color: bronze, finish: platinum",bedroom,4
prod0278,"Dresser; size: XL, color: gold, finish: silver",livingroom,3
prod0279,"L-shaped sofa; size: S, color: white, finish: diamonds",bedroom,13
prod0280,"Dresser; size: XL, color: purple, finish: silver",livingroom,17
prod0281,"Dresser; size: M, color: purple, finish: platinum",livingroom,12
prod0282,"Book shelf; size: XL, color: purple, finish: gold",livingroom,9
prod0283,"Desk; size: S, color: bronze, finish: silver",kitchen,25
prod0284,"TV stand; size: L, color: black, finish: resin",bedroom,17
prod0285,"Desk; size: M, color: white, finish: diamonds",livingroom,24
prod0286,"Sofa; size: L, color: purple, finish: gold",kitchen,3
prod0287,"Dining table; size: M, color: red, finish: varnish",kitchen,23
prod0288,"Sofa; size: M, color: bronze, finish: lacquer",kitchen,16
prod0289,"Coffee table; size: S, color: bronze, finish: gold",kitchen,29
prod0290,"Sofa; size: XL, color: red, finish: bare",livingroom,10
prod0291,"Dining table; size: S, color: green, finish: lacquer",kitchen,11
prod0292,"L-shaped sofa; size: M, color: gold, finish: chrome",livingroom,11
prod0293,"Desk; size: M, color: blue, finish: paint",kitchen,26
prod0294,"TV stand; size: XL, color: bronze, finish: bare",livingroom,23
prod0295,"Desk; size: L, color: red, finish: bare",kitchen,24
prod0296,"TV stand; size: M, color: gold, finish: lacquer",livingroom,12
prod0297,"Stand; size: M, color: white, finish: diamonds",livingroom,5
prod0298,"Dresser; size: M, color: white, finish: bare",livingroom,14
prod0299,"Stand; size: L, color: purple, finish: silver",bedroom,27
prod0300,"Dining table; size: M, color: red, finish: wood",livingroom,14
prod0301,"End table; size: L, color: white, finish: oil",bedroom,25
prod0302,"Dining table; size: S, color: bronze, finish: paint",livingroom,7
prod0303,"Stand; size: XL, color: purple, finish: wood",livingroom,19
prod0304,"Dining table; size: L, color: purple, finish: oil",bedroom,1
prod0305,"Book shelf; size: L, color: brown, finish: silver",livingroom,8
prod0306,"Bar stool; size: L, color: purple, finish: silver",kitchen,16
prod0307,"Book shelf; size: S, color: purple, finish: diamonds",kitchen,27
prod0308,"Book shelf; size: L, color: green, finish: paint",kitchen,27
prod0309,"Stool; size: S, color: bronze, finish: silver",kitchen,13
prod0310,"L-shaped sofa; size: S, color: brown, finish: gold",livingroom,27
prod0311,"End table; size: M, color: brown, finish: gold",livingroom,5
prod0312,"Stool; size: S, color: silver, finish: diamonds",bedroom,24
prod0313,"Coffee table; size: M, color: black, finish: chrome",livingroom,22
prod0314,"Stool; size: M, color: bronze, finish: gold",livingroom,16
prod0315,"Dining table; size: L, color: blue, finish: bare",bedroom,13
prod0316,"Bed frame; size: L, color: bronze, finish: lacquer",livingroom,29
prod0317,"Stool; size: XL, color: black, finish: varnish",livingroom,29
prod0318,"Coffee table; size: M, color: white, finish: diamonds",bedroom,26
prod0319,"Bed frame; size: S, color: brown, finish: varnish",bedroom,16
prod0320,"Bed frame; size: XL, color: black, finish: bare",kitchen,12
prod0321,"Desk; size: M, color: bronze, finish: diamonds",bedroom,20
prod0322,"Desk; size: XL, color: gold, finish: gold",bedroom,9
prod0323,"Bed frame; size: L, color: blue, finish: oil",livingroom,19
prod0324,"Dining table; size: L, color: gold, finish: wood",livingroom,23
prod0325,"L-shaped sofa; size: M, color: green, finish: platinum",livingroom,6
prod0326,"Bed frame; size: M, color: red, finish: gold",livingroom,11
prod0327,"Stand; size: S, color: green, finish: lacquer",kitchen,10
prod0328,"Dining table; size: L, color: brown, finish: diamonds",livingroom,4
prod0329,"Stool; size: L, color: bronze, finish: chrome",livingroom,23
prod0330,"TV stand; size: M, color: black, finish: wood",kitchen,23
prod0331,"Coffee table; size: M, color: gold, finish: lacquer",kitchen,23
prod0332,"Coffee table; size: L, color: purple, finish: silver",kitchen,27
prod0333,"Bar stool; size: XL, color: bronze, finish: bare",livingroom,11
prod0334,"Coffee table; size: L, color: gold, finish: diamonds",kitchen,5
prod0335,"Stand; size: XL, color: brown, finish: bare",livingroom,2
prod0336,"L-shaped sofa; size: M, color: brown, finish: varnish",kitchen,15
prod0337,"End table; size: M, color: red, finish: wood",livingroom,5
prod0338,"Coffee table; size: XL, color: brown, finish: platinum",bedroom,16
prod0339,"Desk; size: M, color: bronze, finish: oil",livingroom,29
prod0340,"Bed frame; size: S, color: red, finish: lacquer",bedroom,9
prod0341,"Sofa; size: XL, color: red, finish: oil",kitchen,15
prod0342,"Book shelf; size: XL, color: white, finish: paint",kitchen,14
prod0343,"L-shaped sofa; size: XL, color: bronze, finish: chrome",kitchen,12
prod0344,"End table; size: S, color: silver, finish: diamonds",kitchen,14
prod0345,"Book shelf; size: XL, color: blue, finish: resin",bedroom,7
prod0346,"Book shelf; size: L, color: bronze, finish: platinum",bedroom,2
prod0347,"Bar stool; size: XL, color: purple, finish: platinum",kitchen,1
prod0348,"Dresser; size: M, color: silver, finish: oil",bedroom,23
prod0349,"End table; size: L, color: red, finish: bare",livingroom,4
prod0350,"End table; size: M, color: white, finish: chrome",livingroom,14
prod0351,"Bed frame; size: S, color: purple, finish: resin",bedroom,16
prod0352,"Desk; size: XL, color: brown, finish: oil",kitchen,16
prod0353,"L-shaped sofa; size: S, color: purple, finish: lacquer",livingroom,19
prod0354,"Stand; size: S, color: white, finish: silver",kitchen,9
prod0355,"Coffee table; size: L, color: white, finish: paint",livingroom,27
prod0356,"End table; size: S, color: silver, finish: lacquer",bedroom,23
prod0357,"End table; size: S, color: red, finish: paint",kitchen,3
prod0358,"Desk; size: M, color: white, finish: oil",livingroom,16
prod0359,"Sofa; size: M, color: blue, finish: platinum",bedroom,22
prod0360,"Stand; size: L, color: blue, finish: lacquer",kitchen,0
prod0361,"Desk; size: M, color: red, finish: silver",livingroom,15
prod0362,"Dresser; size: L, color: purple, finish: wood",kitchen,3
prod0363,"Desk; size: L, color: purple, finish: diamonds",livingroom,7
prod0364,"L-shaped sofa; size: M, color: brown, finish: resin",livingroom,0
prod0365,"End table; size: S, color: white, finish: gold",bedroom,15
prod0366,"Bed frame; size: M, color: silver, finish: oil",kitchen,2
prod0367,"End table; size: S, color: purple, finish: oil",kitchen,19
prod0368,"Book shelf; size: L, color: brown, finish: diamonds",livingroom,8
prod0369,"Desk; size: L, color: red, finish: bare",bedroom,19
prod0370,"Bar stool; size: M, color: black, finish: gold",kitchen,19
prod0371,"Sofa; size: S, color: bronze, finish: resin",kitchen,18
prod0372,"Stool; size: S, color: brown, finish: wood",kitchen,25
prod0373,"Desk; size: S, color: red, finish: varnish",kitchen,16
prod0374,"Stool; size: L, color: blue, finish: resin",kitchen,29
prod0375,"Bed frame; size: L, color: bronze, finish: gold",livingroom,29
prod0376,"Stand; size: L, color: red, finish: bare",bedroom,12
prod0377,"Stand; size: L, color: brown, finish: diamonds",bedroom,19
prod0378,"Coffee table; size: XL, color: silver, finish: lacquer",bedroom,5
prod0379,"Book shelf; size: L, color: brown, finish: gold",livingroom,4
prod0380,"Book shelf; size: M, color: black, finish: gold",kitchen,24
prod0381,"TV stand; size: M, color: brown, finish: wood",kitchen,15
prod0382,"L-shaped sofa; size: S, color: purple, finish: silver",kitchen,15
prod0383,"L-shaped sofa; size: M, color: black, finish: diamonds",bedroom,12
prod0384,"Coffee table; size: M, color: purple, finish: paint",kitchen,26
prod0385,"L-shaped sofa; size: XL, color: black, finish: paint",livingroom,0
prod0386,"Bed frame; size: L, color: bronze, finish: oil",kitchen,0
prod0387,"Stand; size: L, color: red, finish: oil",kitchen,29
prod0388,"Desk; size: S, color: blue, finish: paint",kitchen,28
prod0389,"Bar stool; size: L, color: bronze, finish: chrome",livingroom,14
prod0390,"Book shelf; size: XL, color: bronze, finish: varnish",livingroom,17
prod0391,"Dresser; size: XL, color: brown, finish: varnish",livingroom,26
prod0392,"Bar stool; size: XL, color: silver, finish: paint",kitchen,13
prod0393,"Dresser; size: S, color: gold, finish: chrome",livingroom,22
prod0394,"Stool; size: M, color: brown, finish: diamonds",livingroom,2
prod0395,"Stool; size: S, color: purple, finish: lacquer",bedroom,27
prod0396,"End table; size: S, color: silver, finish: silver",bedroom,17
prod0397,"L-shaped sofa; size: S, color: white, finish: gold",bedroom,29
prod0398,"Stand; size: L, color: red, finish: lacquer",bedroom,28
prod0399,"Desk; size: XL, color: green, finish: gold",livingroom,24
prod0400,"Bar stool; size: L, color: silver, finish: bare",bedroom,15
prod0401,"Desk; size: M, color: green, finish: silver",bedroom,5
prod0402,"TV stand; size: XL, color: brown, finish: paint",bedroom,24
prod0403,"Stand; size: M, color: gold, finish: wood",bedroom,7
prod0404,"Bar stool; size: L, color: silver, finish: wood",kitchen,9
prod0405,"End table; size: L, color: silver, finish: gold",kitchen,19
prod0406,"Stool; size: L, color: bronze, finish: gold",livingroom,19
prod0407,"Coffee table; size: M, color: brown, finish: bare",bedroom,28
prod0408,"Stand; size: S, color: white, finish: silver",bedroom,1
prod0409,"Book shelf; size: L, color: brown, finish: lacquer",kitchen,11
prod0410,"Dresser; size: XL, color: purple, finish: silver",bedroom,16
prod0411,"Stand; size: S, color: brown, finish: wood",livingroom,29
prod0412,"Sofa; size: S, color: gold, finish: resin",kitchen,8
prod0413,"Sofa; size: L, color: gold, finish: platinum",bedroom,15
prod0414,"Dining table; size: S, color: purple, finish: oil",livingroom,19
